ad_observation_id,depth,depth_flag,temperature,temperature_flag,salinity,salinity_flag,density,density_flag
1900103_26/12/2001,219.4,1,0.284,1,34.27,1,1027.501953,1
1900103_19/12/2001,219.4,1,0.287,1,34.286,1,1027.514038,1
1900103_19/12/2001,179.6,1,0.289,1,34.26,1,1027.493042,1
1900103_26/12/2001,229,1,0.291,1,34.285,1,1027.512939,1
1900103_26/12/2001,239.5,1,0.292,1,34.286,1,1027.514038,1
1900103_19/12/2001,209,1,0.295,1,34.283,1,1027.511963,1
1900103_26/12/2001,209.4,1,0.295,1,34.265,1,1027.496948,1
1900103_19/12/2001,189,1,0.298,1,34.277,1,1027.506958,1
1900103_19/12/2001,169.2,1,0.3,1,34.246,1,1027.480957,1
1900103_26/12/2001,179.6,1,0.3,1,34.247,1,1027.482056,1
1900103_26/12/2001,249.3,1,0.304,1,34.302,1,1027.526001,1
1900103_19/12/2001,199.3,1,0.308,1,34.281,1,1027.509033,1
1900103_26/12/2001,169.7,1,0.315,1,34.232,1,1027.468994,1
1900103_26/12/2001,259.4,1,0.316,1,34.311,1,1027.532959,1
1900103_26/12/2001,199.3,1,0.317,1,34.261,1,1027.493042,1
1900103_19/12/2001,159.4,1,0.319,1,34.241,1,1027.475952,1
1900103_26/12/2001,269.4,1,0.33,1,34.318,1,1027.537964,1
1900103_26/12/2001,159.6,1,0.333,1,34.223,1,1027.46106,1
1900103_26/12/2001,189.5,1,0.343,1,34.259,1,1027.48999,1
1900103_19/12/2001,229.1,1,0.361,1,34.309,1,1027.529053,1
1900103_26/12/2001,149.6,1,0.37,1,34.217,1,1027.453979,1
1900103_19/12/2001,149.2,1,0.391,1,34.238,1,1027.469971,1
1900103_26/12/2001,279.3,1,0.399,1,34.339,1,1027.551025,1
1900103_26/12/2001,139.3,1,0.412,1,34.211,1,1027.447021,1
1900103_12/12/2001,179,1,0.44,1,34.279,1,1027.5,1
1900103_19/12/2001,239,1,0.504,1,34.333,1,1027.540039,1
1900103_19/12/2001,139.5,1,0.52,1,34.231,1,1027.457031,1
1900103_12/12/2001,169.1,1,0.526,1,34.263,1,1027.482056,1
1900103_12/12/2001,139.7,1,0.527,1,34.223,1,1027.449951,1
1900103_26/12/2001,129.5,1,0.527,1,34.197,1,1027.428955,1
1900103_26/12/2001,289.4,1,0.565,1,34.372,1,1027.567993,1
1900103_12/12/2001,149.3,1,0.574,1,34.25,1,1027.468994,1
1900103_12/12/2001,189.5,1,0.577,1,34.307,1,1027.515015,1
1900103_26/12/2001,1999.8,1,0.589,1,34.691,1,1027.822998,1
1900103_26/12/2001,299.7,1,0.598,1,34.384,1,1027.574951,1
1900103_19/12/2001,129.6,1,0.606,1,34.22,1,1027.442993,1
1900103_12/12/2001,129.3,1,0.62,1,34.196,1,1027.422974,1
1900103_12/12/2001,1899.6,1,0.623,1,34.691,1,1027.821045,1
1900103_19/12/2001,119.3,1,0.623,1,34.213,1,1027.436035,1
1900103_12/12/2001,199.4,1,0.626,1,34.317,1,1027.52002,1
1900103_12/12/2001,159.5,1,0.634,1,34.265,1,1027.477051,1
1900103_19/12/2001,249.3,1,0.637,1,34.356,1,1027.550049,1
1900103_26/12/2001,1898.8,1,0.642,1,34.693,1,1027.822021,1
1900103_19/12/2001,1899.4,1,0.67,1,34.695,1,1027.821045,1
1900103_19/12/2001,109.6,1,0.672,1,34.175,1,1027.402954,1
1900103_26/12/2001,1799.3,1,0.687,1,34.694,1,1027.819946,1
1900103_19/12/2001,1799.6,1,0.704,1,34.697,1,1027.821045,1
1900103_12/12/2001,1799.5,1,0.723,1,34.697,1,1027.819946,1
1900103_26/12/2001,1699.5,1,0.748,1,34.697,1,1027.817993,1
1900103_12/12/2001,259.5,1,0.76,1,34.393,1,1027.572998,1
1900103_19/12/2001,299.3,1,0.777,1,34.414,1,1027.588989,1
1900103_12/12/2001,119.5,1,0.778,1,34.172,1,1027.394043,1
1900103_19/12/2001,1699.4,1,0.778,1,34.7,1,1027.81897,1
1900103_12/12/2001,109.3,1,0.78,1,34.163,1,1027.385986,1
1900103_12/12/2001,209,1,0.791,1,34.342,1,1027.530029,1
1900103_12/12/2001,1699.5,1,0.832,1,34.702,1,1027.817017,1
1900103_12/12/2001,269.2,1,0.843,1,34.411,1,1027.582031,1
1900103_26/12/2001,1599.6,1,0.847,1,34.703,1,1027.817017,1
1900103_12/12/2001,99.5,1,0.849,1,34.155,1,1027.375977,1
1900103_19/12/2001,289.6,1,0.854,1,34.409,1,1027.579956,1
1900103_12/12/2001,219.2,1,0.872,1,34.358,1,1027.537964,1
1900103_12/12/2001,279.2,1,0.875,1,34.422,1,1027.588989,1
1900103_19/12/2001,1599.4,1,0.884,1,34.705,1,1027.81604,1
1900103_12/12/2001,249.5,1,0.895,1,34.39,1,1027.562012,1
1900103_19/12/2001,309.2,1,0.9,1,34.434,1,1027.597046,1
1900103_12/12/2001,1599.3,1,0.905,1,34.705,1,1027.814941,1
1900103_12/12/2001,94.2,1,0.917,1,34.148,1,1027.365967,1
1900103_26/12/2001,309.7,1,0.917,1,34.428,1,1027.590942,1
1900103_12/12/2001,239.3,1,0.939,1,34.386,1,1027.55603,1
1900103_19/12/2001,319.3,1,0.939,1,34.452,1,1027.609009,1
1900103_19/12/2001,258.9,1,0.963,1,34.392,1,1027.55896,1
1900103_12/12/2001,89.5,1,0.968,1,34.147,1,1027.362061,1
1900103_19/12/2001,1499.7,1,0.969,1,34.708,1,1027.812988,1
1900103_26/12/2001,1499.5,1,0.985,1,34.709,1,1027.812988,1
1900103_12/12/2001,84.2,1,0.988,1,34.149,1,1027.362061,1
1900103_12/12/2001,1499.3,1,0.99,1,34.71,1,1027.812988,1
1900103_19/12/2001,94.6,1,0.994,1,34.166,1,1027.375,1
1900103_19/12/2001,99.6,1,0.994,1,34.164,1,1027.374023,1
1900103_26/12/2001,99.1,1,0.999,1,34.151,1,1027.363037,1
1900103_26/12/2001,319.3,1,0.999,1,34.442,1,1027.597046,1
1900103_12/12/2001,229.4,1,1,1,34.382,1,1027.54895,1
1900103_19/12/2001,53.8,1,1.002,1,34.164,1,1027.373047,1
1900103_19/12/2001,64.4,1,1.002,1,34.165,1,1027.374023,1
1900103_12/12/2001,79.4,1,1.004,1,34.148,1,1027.359985,1
1900103_19/12/2001,8.1,1,1.004,1,34.162,1,1027.370972,1
1900103_19/12/2001,9.7,1,1.004,1,34.162,1,1027.370972,1
1900103_19/12/2001,74.3,1,1.004,1,34.166,1,1027.375,1
1900103_19/12/2001,24.5,1,1.005,1,34.162,1,1027.370972,1
1900103_19/12/2001,59.5,1,1.005,1,34.164,1,1027.373047,1
1900103_19/12/2001,69.3,1,1.005,1,34.165,1,1027.374023,1
1900103_19/12/2001,79.5,1,1.005,1,34.166,1,1027.375,1
1900103_19/12/2001,89.5,1,1.005,1,34.165,1,1027.374023,1
1900103_19/12/2001,44.1,1,1.006,1,34.165,1,1027.374023,1
1900103_19/12/2001,84.9,1,1.006,1,34.166,1,1027.374023,1
1900103_19/12/2001,14.4,1,1.007,1,34.164,1,1027.373047,1
1900103_19/12/2001,29.6,1,1.007,1,34.163,1,1027.371948,1
1900103_19/12/2001,39.7,1,1.007,1,34.166,1,1027.374023,1
1900103_19/12/2001,19.6,1,1.008,1,34.164,1,1027.373047,1
1900103_19/12/2001,34.1,1,1.008,1,34.164,1,1027.373047,1
1900103_12/12/2001,74.2,1,1.009,1,34.149,1,1027.360962,1
1900103_19/12/2001,49.2,1,1.009,1,34.165,1,1027.373047,1
1900103_12/12/2001,69.2,1,1.011,1,34.149,1,1027.359985,1
1900103_26/12/2001,94.2,1,1.021,1,34.148,1,1027.359009,1
1900103_12/12/2001,59.3,1,1.022,1,34.149,1,1027.359985,1
1900103_12/12/2001,64.3,1,1.022,1,34.149,1,1027.359985,1
1900103_26/12/2001,89.3,1,1.027,1,34.148,1,1027.359009,1
1900103_12/12/2001,44.3,1,1.028,1,34.149,1,1027.359009,1
1900103_12/12/2001,54.2,1,1.029,1,34.147,1,1027.358032,1
1900103_26/12/2001,84.5,1,1.029,1,34.148,1,1027.358032,1
1900103_12/12/2001,48.9,1,1.03,1,34.15,1,1027.359985,1
1900103_19/12/2001,279.3,1,1.03,1,34.419,1,1027.57605,1
1900103_26/12/2001,79.1,1,1.03,1,34.147,1,1027.358032,1
1900103_12/12/2001,39.4,1,1.031,1,34.15,1,1027.359985,1
1900103_26/12/2001,69.5,1,1.032,1,34.146,1,1027.357056,1
1900103_26/12/2001,74.3,1,1.034,1,34.147,1,1027.357056,1
1900103_26/12/2001,64.2,1,1.035,1,34.146,1,1027.355957,1
1900103_12/12/2001,5.7,1,1.038,1,34.15,1,1027.359009,1
1900103_12/12/2001,34,1,1.039,1,34.15,1,1027.359009,1
1900103_26/12/2001,59.5,1,1.039,1,34.147,1,1027.357056,1
1900103_12/12/2001,289.6,1,1.04,1,34.44,1,1027.593018,1
1900103_12/12/2001,14.7,1,1.043,1,34.15,1,1027.359009,1
1900103_12/12/2001,24.4,1,1.043,1,34.15,1,1027.359009,1
1900103_12/12/2001,29.1,1,1.043,1,34.15,1,1027.359009,1
1900103_12/12/2001,19.4,1,1.044,1,34.15,1,1027.359009,1
1900103_26/12/2001,54.2,1,1.045,1,34.146,1,1027.355957,1
1900103_12/12/2001,6.7,1,1.046,1,34.151,1,1027.359985,1
1900103_12/12/2001,9.3,1,1.046,1,34.15,1,1027.359009,1
1900103_12/12/2001,299.5,1,1.052,1,34.449,1,1027.598999,1
1900103_26/12/2001,49.5,1,1.065,1,34.147,1,1027.35498,1
1900103_19/12/2001,329.2,1,1.066,1,34.47,1,1027.61499,1
1900103_19/12/2001,269.6,1,1.075,1,34.418,1,1027.572998,1
1900103_19/12/2001,1399.5,1,1.086,1,34.713,1,1027.80896,1
1900103_26/12/2001,119.6,1,1.094,1,34.194,1,1027.390991,1
1900103_26/12/2001,1399.5,1,1.105,1,34.717,1,1027.811035,1
1900103_26/12/2001,44.4,1,1.113,1,34.147,1,1027.352051,1
1900103_26/12/2001,109.6,1,1.116,1,34.176,1,1027.375,1
1900103_12/12/2001,1399.4,1,1.127,1,34.716,1,1027.80896,1
1900103_26/12/2001,329.3,1,1.156,1,34.466,1,1027.605957,1
1900103_26/12/2001,39.2,1,1.161,1,34.145,1,1027.347046,1
1900103_26/12/2001,339.6,1,1.166,1,34.476,1,1027.613037,1
1900103_26/12/2001,34.2,1,1.17,1,34.144,1,1027.345947,1
1900103_26/12/2001,29.2,1,1.178,1,34.143,1,1027.344971,1
1900103_12/12/2001,1299.1,1,1.206,1,34.719,1,1027.80603,1
1900102_26/12/2001,209.6,1,1.209,1,33.991,1,1027.219971,1
1900103_19/12/2001,339.3,1,1.214,1,34.489,1,1027.619995,1
1900103_19/12/2001,1299.4,1,1.223,1,34.72,1,1027.805054,1
1900103_26/12/2001,1299.5,1,1.229,1,34.72,1,1027.805054,1
1900102_19/12/2001,269.4,1,1.232,1,34.069,1,1027.281982,1
1900103_26/12/2001,349.3,1,1.232,1,34.496,1,1027.625,1
1900103_12/12/2001,309.3,1,1.243,1,34.484,1,1027.614014,1
1900102_19/12/2001,279.5,1,1.252,1,34.079,1,1027.287964,1
1900102_26/12/2001,199.2,1,1.258,1,33.986,1,1027.213013,1
1900103_26/12/2001,24.4,1,1.278,1,34.143,1,1027.338013,1
1900102_19/12/2001,259.1,1,1.289,1,34.06,1,1027.27002,1
1900102_26/12/2001,289.4,1,1.292,1,34.097,1,1027.300049,1
1900103_12/12/2001,328.9,1,1.295,1,34.511,1,1027.631958,1
1900103_12/12/2001,1199.4,1,1.296,1,34.721,1,1027.801025,1
1900102_26/12/2001,299,1,1.299,1,34.114,1,1027.312988,1
1900102_26/12/2001,279.4,1,1.32,1,34.088,1,1027.291016,1
1900103_19/12/2001,1199,1,1.326,1,34.723,1,1027.800049,1
1900102_26/12/2001,219.2,1,1.329,1,34.014,1,1027.230957,1
1900103_26/12/2001,1199,1,1.33,1,34.722,1,1027.79895,1
1900103_26/12/2001,359.6,1,1.343,1,34.515,1,1027.631958,1
1900102_26/12/2001,239.3,1,1.346,1,34.034,1,1027.245972,1
1900103_19/12/2001,359.6,1,1.35,1,34.515,1,1027.631958,1
1900102_26/12/2001,1999,1,1.351,1,34.729,1,1027.802979,1
1900102_26/12/2001,189.5,1,1.36,1,33.983,1,1027.203979,1
1900103_12/12/2001,339.6,1,1.369,1,34.525,1,1027.637939,1
1900102_26/12/2001,229.2,1,1.383,1,34.025,1,1027.235962,1
1900102_19/12/2001,209.3,1,1.386,1,34.005,1,1027.219971,1
1900103_19/12/2001,349.6,1,1.386,1,34.509,1,1027.624023,1
1900102_12/12/2001,1899.3,1,1.387,1,34.735,1,1027.80603,1
1900103_12/12/2001,319.2,1,1.409,1,34.507,1,1027.620972,1
1900102_19/12/2001,189.1,1,1.411,1,33.976,1,1027.194946,1
1900102_19/12/2001,179.3,1,1.416,1,33.966,1,1027.186035,1
1900103_12/12/2001,1099.1,1,1.424,1,34.726,1,1027.796021,1
1900102_19/12/2001,239.1,1,1.431,1,34.045,1,1027.249023,1
1900102_19/12/2001,169.2,1,1.432,1,33.955,1,1027.176025,1
1900103_19/12/2001,1099,1,1.432,1,34.725,1,1027.793945,1
1900102_26/12/2001,1899.5,1,1.44,1,34.732,1,1027.800049,1
1900102_26/12/2001,149.1,1,1.444,1,33.951,1,1027.171997,1
1900102_19/12/2001,299.1,1,1.445,1,34.116,1,1027.305054,1
1900103_26/12/2001,1099.5,1,1.451,1,34.724,1,1027.791992,1
1900102_26/12/2001,139.5,1,1.458,1,33.946,1,1027.166992,1
1900102_26/12/2001,159,1,1.459,1,33.96,1,1027.177979,1
1900102_19/12/2001,1898.9,1,1.461,1,34.731,1,1027.796997,1
1900103_19/12/2001,379.3,1,1.464,1,34.537,1,1027.640991,1
1900102_19/12/2001,149,1,1.465,1,33.952,1,1027.171997,1
1900102_19/12/2001,199.6,1,1.467,1,33.992,1,1027.203003,1
1900102_19/12/2001,229.2,1,1.467,1,34.036,1,1027.239014,1
1900103_26/12/2001,19.2,1,1.47,1,34.142,1,1027.323975,1
1900102_19/12/2001,289.1,1,1.481,1,34.103,1,1027.291992,1
1900102_26/12/2001,179.3,1,1.482,1,33.982,1,1027.19397,1
1900102_26/12/2001,169.4,1,1.488,1,33.98,1,1027.192017,1
1900102_19/12/2001,159.4,1,1.498,1,33.96,1,1027.176025,1
1900103_26/12/2001,379.4,1,1.498,1,34.545,1,1027.64502,1
1900103_19/12/2001,999.5,1,1.502,1,34.724,1,1027.78894,1
1900102_12/12/2001,1799.2,1,1.505,1,34.742,1,1027.802979,1
1900102_19/12/2001,139.4,1,1.514,1,33.945,1,1027.161987,1
1900102_19/12/2001,219.2,1,1.516,1,34.026,1,1027.227051,1
1900102_26/12/2001,129.2,1,1.517,1,33.937,1,1027.156006,1
1900102_26/12/2001,249.4,1,1.52,1,34.058,1,1027.253052,1
1900102_26/12/2001,269.5,1,1.533,1,34.093,1,1027.280029,1
1900103_12/12/2001,999.6,1,1.535,1,34.726,1,1027.787964,1
1900102_12/12/2001,149,1,1.542,1,33.964,1,1027.176025,1
1900103_19/12/2001,399.3,1,1.543,1,34.556,1,1027.651001,1
1900103_26/12/2001,14.6,1,1.544,1,34.145,1,1027.321045,1
1900103_26/12/2001,999,1,1.55,1,34.722,1,1027.782959,1
1900102_19/12/2001,1799.2,1,1.559,1,34.735,1,1027.792969,1
1900102_19/12/2001,119.5,1,1.568,1,33.93,1,1027.146973,1
1900102_19/12/2001,129,1,1.569,1,33.937,1,1027.151978,1
1900102_19/12/2001,309.5,1,1.575,1,34.133,1,1027.30896,1
1900102_26/12/2001,1799.5,1,1.585,1,34.741,1,1027.796021,1
1900103_26/12/2001,399.5,1,1.586,1,34.56,1,1027.651001,1
1900102_12/12/2001,1699.5,1,1.594,1,34.745,1,1027.79895,1
1900102_12/12/2001,139.3,1,1.596,1,33.935,1,1027.149048,1
1900102_26/12/2001,259.2,1,1.596,1,34.085,1,1027.269043,1
1900102_19/12/2001,249,1,1.61,1,34.074,1,1027.259033,1
1900102_19/12/2001,109.3,1,1.614,1,33.921,1,1027.135986,1
1900103_12/12/2001,349.6,1,1.634,1,34.558,1,1027.645996,1
1900102_12/12/2001,1598.9,1,1.639,1,34.741,1,1027.791992,1
1900103_26/12/2001,899.1,1,1.642,1,34.723,1,1027.776978,1
1900103_26/12/2001,419.6,1,1.645,1,34.582,1,1027.66394,1
1900103_19/12/2001,899.6,1,1.66,1,34.727,1,1027.779053,1
1900102_19/12/2001,1699.6,1,1.663,1,34.738,1,1027.787964,1
1900103_12/12/2001,359.5,1,1.664,1,34.568,1,1027.651001,1
1900102_12/12/2001,129.4,1,1.677,1,33.921,1,1027.130981,1
1900102_19/12/2001,99.2,1,1.689,1,33.915,1,1027.125977,1
1900102_26/12/2001,1699.2,1,1.696,1,34.746,1,1027.791992,1
1900103_12/12/2001,899.4,1,1.697,1,34.73,1,1027.779053,1
1900103_19/12/2001,419.7,1,1.702,1,34.586,1,1027.662964,1
1900101_12/12/2001,199.5,1,1.715,1,33.915,1,1027.124023,1
1900102_26/12/2001,309.1,1,1.719,1,34.169,1,1027.327026,1
1900102_12/12/2001,1499.5,1,1.724,1,34.741,1,1027.786011,1
1900102_19/12/2001,94.1,1,1.75,1,33.908,1,1027.115967,1
1900102_19/12/2001,1599.1,1,1.761,1,34.737,1,1027.780029,1
1900103_26/12/2001,799.4,1,1.761,1,34.721,1,1027.766968,1
1900103_26/12/2001,439.6,1,1.762,1,34.611,1,1027.678955,1
1900103_12/12/2001,599.6,1,1.769,1,34.682,1,1027.734985,1
1900102_19/12/2001,89.1,1,1.773,1,33.906,1,1027.112061,1
1900103_12/12/2001,549.4,1,1.774,1,34.671,1,1027.725952,1
1900102_26/12/2001,1599.1,1,1.778,1,34.744,1,1027.784058,1
1900103_19/12/2001,439.6,1,1.787,1,34.614,1,1027.678955,1
1900103_12/12/2001,799.5,1,1.788,1,34.724,1,1027.766968,1
1900103_19/12/2001,799,1,1.79,1,34.722,1,1027.765015,1
1900103_19/12/2001,479.3,1,1.796,1,34.64,1,1027.698975,1
1900103_19/12/2001,499.2,1,1.807,1,34.649,1,1027.706055,1
